id,manuscript_semantics,manuscript_location,source_file,source_lines,source_sha_short,status,audit_note
ADS-01,ADS definition: clean-to-test KL from native pre-softmax logits,"Main Sec. Attention Divergence Score, Eqs. ADS row/layer",ads_canonical_operator_v2_1.py,26-43; 85-136,14d3c110...b4fd6,PASS,36-test oracle includes independent NumPy KL check
ADS-02,float64 log_softmax; no probability floor or probability renormalization,Main numerical-operator paragraph,ads_canonical_operator_v2_1.py,107-136,14d3c110...b4fd6,PASS,Operator spec hash reproduces canonical 093e...7362
ADS-03,"per-image mean over heads/query, then mean over images",Main ADS aggregation prose/equations,ads_canonical_operator_v2_1.py,111-136,14d3c110...b4fd6,PASS,Independent test distinguishes mean(per-image KL) from KL(mean attention)
ATK-01,20-step CE projected ascent; alpha=0.1 epsilon; zero init; eval mode,Main attack construction,ads_attack_engine_v2_1.py,465-617,e3c506a3...bf77,PASS,Toy recurrence test detects current-delta semantics
ATK-02,current delta applied before each gradient evaluation,Main attack construction,ads_attack_engine_v2_1.py,541-572,e3c506a3...bf77,PASS,"Oracle gives +.02,+.04,+.02 rather than stale-gradient trajectory"
ATK-03,full-reference mean CE independent of batch partition,Main attack construction,ads_attack_engine_v2_1.py,534-561,e3c506a3...bf77,PASS,sum loss divided by exact reference-set cardinality
ATK-04,fail closed when attacked gradient missing,Methods/protocol semantics,ads_attack_engine_v2_1.py,563-572,e3c506a3...bf77,PASS,Explicit missing-gradient unit test
SURF-01,Learned pos_embed; Sinusoidal pe; RoPE cos+sin excluding inv_freq; ALiBi slope-like buffers,Attack-surface table,ads_attack_engine_v2_1.py,262-345,e3c506a3...bf77,PASS,Mock topology tests verify RoPE exclusion; full-grid topology gate checks 1/1/24/12 groups
SURF-02,"QKV weights only and MLP weights only, biases excluded",Attack-surface table,ads_attack_engine_v2_1.py,350-385,e3c506a3...bf77,PASS,Mock tests verify QKV/MLP bias exclusion
SURF-03,all_non_pe_weights includes all trainable non-PE parameters including ordinary biases,Threat/specificity prose + attack-surface table,ads_attack_engine_v2_1.py,370-378,e3c506a3...bf77,PASS,Mock test confirms ordinary biases included and PE-like state excluded
RUN-01,canonical seeds and epsilon grids,Main fixed-grid methods,ads_primary_full_grid_v2_1.py,48-58; 242-280,d0cc6e0e...2c00,PASS,Static source assertions
RUN-02,fixed 256 reference / 5000 validation / deterministic transformed cache,Main data + reproducibility methods,ads_primary_full_grid_v2_1.py,108-148; 213-263,d0cc6e0e...2c00,PASS,Reference/full-cache SHA gates present
RUN-03,"deterministic PyTorch, TF32 off, math-only SDPA",Reproducibility methods,ads_attack_engine_v2_1.py,107-149,e3c506a3...bf77,PASS,Direct source inspection; runtime manifests already preserved
DM-01,first adjacent crossing; exact hit direct; linear interpolation in damage; no extrapolation,Damage-matching methods,derive_damage_matched_v2_1.py,33-62; 86-106,2d58a575...28b7,PASS,"Exact-hit, nonmonotonic-first-crossing, and no-extrapolation oracle tests"
DM-02,same interpolation weight applied to epsilon/ADS/profile/per-image ADS,Damage-matching methods,derive_damage_matched_v2_1.py,54-62,2d58a575...28b7,PASS,Static source inspection
CMP-01,Attn-L2 uses nondegenerate key-salience mean over query rows,Benign-aware comparison methods,stage_b_saved_delta_reeval_v2_8_2.py,260-263; 274-294,d83219e5...1add,PASS,"Independent tensor test confirms mean(dim=-2), not mean over keys"
CMP-02,diagonal Mahalanobis uses same feature with variance regularizer 1e-6 mean(v)+1e-18,Benign-aware comparison methods,stage_b_saved_delta_reeval_v2_8_2.py,265-284,d83219e5...1add,PASS,Exact formula unit test
CMP-03,LogitKL clean-to-test; rank-concordance AUC with 0.5 ties,Comparison/AUC methods,stage_b_saved_delta_reeval_v2_8_2.py,274-316,d83219e5...1add,PASS,Tie-aware AUC oracle 7/12
CMP-04,high-confidence boundary = smallest tested epsilon with all 6 seed AUC >= 0.99; no AUC interpolation,Boundary methods,stage_b_saved_delta_reeval_v2_8_2.py,585-607,d83219e5...1add,PASS,Source uses seedwise minimum and exact tested epsilon
SB-01,nonreference partition is all 5000 validation indices excluding the fixed 256 reference,Post-audit sensitivity,stage_b_saved_delta_reeval_v2_8_2.py,420-458; 479-575,d83219e5...1add,PASS,Code enforces 4744 cardinality and full-accuracy reconstruction
SB-02,disjoint holdout evaluated from exact reused saved deltas; no attack regeneration,Post-audit holdout methods,stage_b_saved_delta_reeval_v2_8_2.py,344-374; 519-575,d83219e5...1add,PASS,Saved delta SHA verified before apply_saved_delta
ADP-01,adaptive objective CE - lambda*canonical ADS(L4),Adaptive methods,canonical_adaptive_engine_v2_7.py,152-221; 257-313,304e0159...49bc,PASS_WITH_PROVENANCE_LIMIT,Semantics tested; exact confirmatory v2.7.2 runner bytes are not in current local authority set
ADP-02,"profile-LSE T logsumexp(ADS_l/T), T=0.01; exact gradient weights",Adaptive methods,canonical_adaptive_engine_v2_7.py,124-150; 222-255,304e0159...49bc,PASS_WITH_PROVENANCE_LIMIT,Formula and gradient independently tested; pilot implementation lineage
ADP-03,adaptive current-delta projected sign ascent on canonical PE surface,Adaptive methods,canonical_adaptive_engine_v2_7.py,177-313,304e0159...49bc,PASS_WITH_PROVENANCE_LIMIT,Pilot implementation passed exact lambda=0 regression; confirmatory source archive not locally recovered
SPEC-01,specificity attack surfaces use common corrected attack engine,Specificity methods,ads_attack_engine_v2_1.py,350-393; 465-617,e3c506a3...bf77,PASS_PARTIAL,Surface/engine semantics audited; exact specificity v2.6 runner/notebook bytes are not in current local authority set
